	Colleges	Long	Lat	Intensity
0	All Souls	-1.253166	51.753483	6
1	Balliol	-1.258031	51.754894	11
2	Blackfriars	-1.260107	51.756169	13
3	Brasenose	-1.254737	51.752785	16
4	Campion Hall	-1.258353	51.749577	6
5	Christ Church	-1.255864	51.750221	13
6	Coprus Christi	-1.253691	51.750856	18
7	Exeter	-1.255955	51.753722	13
8	Green Templeton	-1.262827	51.761219	0
9	Harris Manchester	-1.252093	51.755794	2
10	Hertford	-1.253423	51.754153	8
11	Jesus	-1.256679	51.753466	4
12	Keble	-1.257918	51.759021	6
13	Kellog	-1.260134	51.763909	10
14	Lady Margaret	-1.253879	51.764901	3
15	Linacre	-1.249866	51.759304	16
16	Lincoln	-1.255832	51.75321	5
17	Magdalen	-1.246471	51.752131	11
18	Mansfield	-1.252833	51.757378	19
19	Merton	-1.251926	51.751175	3
20	New	-1.250677	51.754562	11
21	Nuffield	-1.26251	51.752769	4
22	Oriel	-1.253659	51.751361	12
23	Pembroke	-1.257994	51.750029	12
24	Queens	-1.251047	51.753028	13
25	Regent Park	-1.260998	51.756936	8
26	St Annes	-1.261561	51.761847	5
27	St Anthonys	-1.262956	51.76348	10
28	St Benets	-1.261035	51.757906	9
29	St Catherines	-1.244904	51.757122	18
30	St Cross	-1.260316	51.756511	10
31	St Edmund Hall	-1.250027	51.753051	10
32	St Hildas	-1.245645	51.748661	11
33	St Hughs	-1.262312	51.766973	9
34	St Johns	-1.258686	51.756093	15
35	St Peters	-1.260949	51.752669	15
36	St Stephens	-1.239248	51.74698	19
37	Somerville	-1.261733	51.759639	5
38	Trinity	-1.256304	51.75494	15
39	University	-1.251991	51.752433	7
40	Wadham	-1.254357	51.75584	14
41	Wolfson	-1.255145	51.771023	8
42	Worcester	-1.264023	51.754861	3
43	Wycliffe	-1.260129	51.76278	8
